Princípio Ativo,Detentor Registro,Nome Comercial,Registro,Concentracao,FormaFarmaceutica,Data Inclusao Lista Referência,Data Atualização Bulário,Acesso Bulário
citalopram (bromidrato),Lundbeck,CIPRAMIL,104750043,20mg,com rev,28/09/2016,2023-01-30T02:46:09.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=104750043
citalopram (bromidrato),Libbs,PROCIMAX,100330107,40mg,com rev,13/03/2018,2025-04-28T11:52:53.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100330107
citarabina,Libbs,FAULDCITA,100330138,100mg/mL,sol inj,12/01/2021,2024-08-01T14:22:54.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100330138
citrato de cafeína,Chiesi,PEYONA,100580115,20mg/mL,sol inj,15/06/2018,2021-04-20T09:38:27.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100580115
cladribina,Mawdsleys,LEUSTATIN,158320004,1mg/mL,sol inj,12/11/2012,2025-02-14T10:51:07.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=158320004
cladribina,Merck,MAVENCLAD,100890411,10 mg,com,12/04/2024,2024-02-23T20:35:53.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100890411
claritromicina,Medley,CLARITROMICINA,183260025,500mg,com rev,18/09/2017,2025-03-27T14:22:56.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=183260025
claritromicina,Abbott,KLARICID,105530200,50mg/mL,gran sus or,12/11/2012,2024-12-20T11:40:38.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105530200
claritromicina,Abbott,KLARICID,105530200,500mg/10mL,pó liof sol inj,12/11/2012,2024-12-20T11:40:38.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105530200
claritromicina,Abbott,KLARICID,105530200,25mg/mL,gran sus or,12/11/2012,2024-12-20T11:40:38.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105530200
claritromicina,Abbott,KLARICID UD,105530200,500mg,com rev lib prol,12/11/2012,2024-12-20T11:40:38.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105530200
clindamicina (cloridrato),Pfizer,DALACIN C,121100385,300mg,cap dura,12/11/2012,2024-05-24T11:21:44.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=121100385
clindamicina (fosfato),União Química,FOSFATO DE CLINDAMICINA,104970284,150 mg/ml,sol inj,13/03/2013,2022-01-28T08:16:49.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=104970284
clobazam,Sanofi Medley,FRISIUM,183260324,10mg,com,12/11/2012,,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=183260324
clobazam,Sanofi Medley,FRISIUM,183260324,20 mg,com,12/11/2012,,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=183260324
clobetasol (propionato),Glaxosmithkline,PSOREX,101070198,"0,5mg/g",sol capilar,12/11/2012,2025-01-13T15:02:48.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=101070198
clobetasol (propionato),Glaxosmithkline,PSOREX,101070198,"0,5mg/g",crem derm,12/11/2012,2025-01-13T15:02:48.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=101070198
clobetasol (propionato),Glaxosmithkline,PSOREX,101070198,"0,5mg/g",pom derm,12/11/2012,2025-01-13T15:02:48.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=101070198
clomipramina (cloridrato),EMS S/A,CLO,135690614,10mg,com rev,08/12/2023,2025-03-27T10:43:53.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=135690614
clomipramina (cloridrato),Sandoz,ANAFRANIL,100470657,25 mg,com rev,12/11/2012,2024-01-04T16:32:28.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100470657
clomipramina (cloridrato),Sandoz,ANAFRANIL,100470657,75mg,com lib prol,12/11/2012,2024-01-04T16:32:28.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100470657
clonazepam,Blanver,RIVOTRIL,115240011,"0,5mg",com,12/11/2012,2022-03-03T14:20:26.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=115240011
clonazepam,Blanver,RIVOTRIL,115240011,"2,0mg",com,12/11/2012,2022-03-03T14:20:26.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=115240011
clonazepam,Blanver,RIVOTRIL,115240011,"0,25mg",com subl,12/11/2012,2022-03-03T14:20:26.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=115240011
clonazepam,Blanver,RIVOTRIL,115240011,"2,5mg/ml",sol or,12/11/2012,2022-03-03T14:20:26.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=115240011
clonidina (cloridrato),Mawdsleys,ATENSINA,158320003,100µg,com,12/11/2012,2022-11-21T12:29:50.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=158320003
clonidina (cloridrato),Mawdsleys,ATENSINA,158320003,150µg,com,12/11/2012,2022-11-21T12:29:50.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=158320003
clonidina (cloridrato),Cristália,CLONIDIN,102980193,150 mcg/mL,sol inj,12/11/2012,2021-03-08T11:49:30.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=102980193
clonixinato de lisina,Farmoquímica S/A,DOLAMIN,103900139,125mg,com rev,22/01/2013,2024-05-21T17:23:09.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=103900139
clonixinato de lisina,Farmoquímica S/A,DOLAMIN,103900139,250mg,com rev,02/09/2022,2024-05-21T17:23:09.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=103900139
cloperastina (fendizoato),Zambon,SEKI,100840140,"35,4mg/ml",sus or,12/11/2012,2024-07-30T14:30:59.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100840140
cloperastina (fendizoato),Zambon,SEKI,100840140,"3,54mg/ml",xpe,21/01/2013,2024-07-30T14:30:59.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100840140
clopidogrel (bissulfato),Sanofi Medley,PLAVIX,183260370,75 mg,com rev,13/09/2013,2024-12-18T09:56:48.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=183260370
clorambucila,Aspen Pharma,LEUKERAN,137640148,2mg,com rev,12/11/2012,2025-04-17T10:44:30.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=137640148
cloranfenicol (levógiro),Pfizer,QUEMICETINA,102160127,500 mg,com rev,12/11/2012,,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=102160127
cloranfenicol (succinato sódico),Blau Farmacêutica,ARIFENICOL,116370118,1g,pó liof sol inj,02/02/2018,2017-04-11T14:38:23.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=116370118
cloridrato de aminolevulinato de metila,Galderma,METVIX,129160065,160mg/g,crem derm,30/11/2015,,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=129160065
clorpromazina (cloridrato),Sanofi Medley,AMPLICTIL,183260385,25mg,com rev,12/11/2012,,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=183260385
clorpromazina (cloridrato),Sanofi Medley,AMPLICTIL,183260385,100mg,com rev,12/11/2012,,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=183260385
clorpromazina (cloridrato),Sanofi Medley,AMPLICTIL,183260385,40mg/mL,sol or,12/11/2012,,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=183260385
clorpromazina (cloridrato),União Química,CLORPROMAZ,104970155,5mg/mL,sol inj,09/12/2022,2024-11-11T14:13:43.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=104970155
clorpropamida,Pfizer,DIABINESE,102160010,250mg,com,12/11/2012,,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=102160010
clortalidona,EMS S/A,CLORTALIDONA,102350614,"12,5mg",com,27/12/2019,2022-09-14T10:35:14.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=102350614
clortalidona,EMS S/A,CLORTALIDONA,102350614,25mg,com,27/12/2019,2022-09-14T10:35:14.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=102350614
clortalidona,EMS S/A,CLORTALIDONA,102350614,50mg,com,27/12/2019,2022-09-14T10:35:14.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=102350614
clotrimazol,Bayer,CANESTEN,170560102,10mg/g,sol derm,12/11/2012,2024-10-23T17:27:16.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=170560102
clotrimazol,Bayer,CANESTEN,170560102,10mg/g,crem derm,12/11/2012,2024-10-23T17:27:16.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=170560102
clotrimazol,Bayer,CANESTEN,170560102,10mg/g,po uso top,12/11/2012,2024-10-23T17:27:16.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=170560102
clotrimazol,Bayer,GINO CANESTEN,170560102,10mg/g,crem vag,12/11/2012,2024-10-23T17:27:16.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=170560102
clotrimazol,Bayer,GINO CANESTEN,170560102,20mg/g,crem vag,12/11/2012,2024-10-23T17:27:16.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=170560102
clotrimazol,Bayer,GINO CANESTEN,170560102,500mg,com vag,12/11/2012,2024-10-23T17:27:16.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=170560102
clotrimazol,Bayer S. A,GINO-CANESTEN,170560124,500mg,cap mole vag,04/08/2023,2024-12-04T09:45:44.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=170560124
clozapina,Viatris,LEPONEX,188300034,100mg,com,12/11/2012,2024-07-15T13:56:41.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=188300034
clozapina,Viatris,LEPONEX,188300034,25mg,com,12/11/2012,2024-07-15T13:56:41.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=188300034
cobimetinibe (hemifumarato),Roche,COTELLIC,101000662,20mg,com rev,30/08/2017,2024-12-20T10:01:50.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=101000662
codeína (fosfato),Cristália,CODEIN,102980199,30mg,com,02/02/2018,2024-12-11T14:39:54.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=102980199
codeína (fosfato),Cristália,CODEIN,102980199,60mg,com,02/02/2018,2024-12-11T14:39:54.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=102980199
codeína (fosfato),Cristália,CODEIN,102980199,3mg/mL,sol or,02/02/2018,2024-12-11T14:39:54.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=102980199
codeína (fosfato),Cristália,CODEIN,102980199,30mg/mL,sol inj,02/02/2018,2024-12-11T14:39:54.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=102980199
codergocrina (mesilato),Aché,MESILATO DE CODERGOCRINA,105730693,"4,5mg/1,5ml",sol or,29/01/2016,,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105730693
colchicina,Apsen Farmacêutica,COLCHIS,101180109,"0,5mg",com,12/11/2012,2024-09-02T15:04:15.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=101180109
colchicina,Apsen Farmacêutica,COLCHIS,101180109,1mg,com,12/11/2012,2024-09-02T15:04:15.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=101180109
colestiramina,Moksha,QUESTRAN LIGHT,164250004,4g/90mL,po or,16/05/2013,2022-07-11T08:56:26.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=164250004
colistimetato sódico,Opem,COLIS-TEK,127480023,150mg colistina base/2mL,pó sol inj,12/11/2012,2020-05-18T15:22:48.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=127480023
colistimetato sódico,Zambon,PROMIXIN,100849957,1.000.000 UI/mL,pó sol inf,12/11/2012,,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100849957
crizotinibe,Wyeth,XALKORI,121100454,250mg,cap dur,30/08/2017,2024-07-02T11:38:56.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=121100454
crizotinibe,Wyeth,XALKORI,121100454,200mg,cap dur,26/09/2018,2024-07-02T11:38:56.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=121100454
cromoglicato dissódico,Allergan,CROMOLERG OCULUM,101470096,2PCC (20mg/g),sol oft,12/11/2012,2023-06-05T09:01:18.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=101470096
cromoglicato dissódico,Allergan,CROMOLERG OCULUM,101470096,4PCC (40mg/g),sol oft,12/11/2012,2023-06-05T09:01:18.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=101470096
cromoglicato dissódico,Uci Farma,RILAN,105500068,20mg/mL,sol spr nas,13/03/2013,,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105500068
cromoglicato dissódico,Uci Farma,RILAN,105500068,40mg/mL,sol spr nas,13/03/2013,,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105500068
dabigatrana (etexilato),Boehringer Ingelheim,PRADAXA,103670160,75mg,cap,22/04/2013,2024-12-30T14:00:32.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=103670160
dabigatrana (etexilato),Boehringer Ingelheim,PRADAXA,103670160,110mg,cap,22/04/2013,2024-12-30T14:00:32.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=103670160
dabigatrana (etexilato),Boehringer Ingelheim,PRADAXA,103670160,150 mg,cap,22/04/2013,2024-12-30T14:00:32.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=103670160
dabrafenibe (mesilato),Novartis Biociências,TAFINLAR,100681135,50 mg,cap dura,05/04/2024,2025-05-09T17:17:02.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100681135
dabrafenibe (mesilato),Novartis Biociências,TAFINLAR,100681135,75 mg,cap dura,05/04/2024,2025-05-09T17:17:02.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100681135
dacarbazina,Eurofarma,DACARB,100430636,10mg/ml,pó liof sol inj,12/11/2012,2022-03-28T13:25:58.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100430636
daclatasvir (dicloridrato),Blanver,DICLORIDRATO DE DACLATASVIR,115240017,60mg,com rev,05/07/2024,2023-11-27T13:57:48.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=115240017
dactinomicina,Laboratórios Bagó,COSMEGEN,156260014,"0,5mg/1,1mL",pó liof sol inj,12/11/2012,,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=156260014
danazol,Sanofi Medley,LADOGAL,183260355,100mg,cap dura,12/11/2012,,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=183260355
danazol,Sanofi Medley,LADOGAL,183260355,200mg,cap dura,12/11/2012,,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=183260355
dantroleno sódico,Cristália,DANTROLEN,102980206,20mg,pó liof sol inj,02/02/2018,2021-03-08T12:13:46.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=102980206
dapaglifozina,Astrazeneca,FORXIGA,116180259,5mg,com rev,24/06/2014,2024-05-13T16:40:24.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=116180259
dapaglifozina,Astrazeneca,FORXIGA,116180259,10mg,com rev,24/06/2014,2024-05-13T16:40:24.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=116180259
dapoxetina (cloridrato),Farmoquímica,PROSOY,103900222,30mg,com rev,02/06/2023,2024-08-27T15:54:52.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=103900222
dapoxetina (cloridrato),EMS S/A,EMPOZZE,102351443,60mg,com rev,15/05/2025,2025-01-13T13:59:15.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=102351443
daptomicina,Accord,DAPTOMICINA,155370094,500 mg,pó liof sol inj,09/09/2024,2023-04-19T09:02:52.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=155370094
darifenacina (bromidrato),Aspen Pharma,ENABLEX,137640141,"7,5mg",com rev lib progr,12/11/2012,2022-08-01T09:29:16.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=137640141
darifenacina (bromidrato),Aspen Pharma,ENABLEX,137640141,"15,0mg",com rev lib progr,12/11/2012,2022-08-01T09:29:16.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=137640141
darolutamida,Bayer,NUBEQA,170560120,300mg,com rev,28/07/2023,2024-12-20T18:35:01.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=170560120
darunavir,Janssen-Cilag,PREZISTA,112363387,75mg,com rev,30/04/2013,2025-03-12T10:24:31.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=112363387
darunavir,Janssen-Cilag,PREZISTA,112363387,150mg,com rev,30/04/2013,2025-03-12T10:24:31.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=112363387
darunavir,Janssen-Cilag,PREZISTA,112363387,300mg,com rev,30/04/2013,2025-03-12T10:24:31.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=112363387
darunavir,Janssen-Cilag,PREZISTA,112363387,600 mg,com rev,29/07/2016,2025-03-12T10:24:31.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=112363387
darunavir,Janssen-Cilag,PREZISTA,112363387,800mg,com rev,05/06/2020,2025-03-12T10:24:31.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=112363387
dasatinibe,Bristol Myers Squibb,SPRYCEL,101800392,20mg,com rev,12/11/2012,2024-12-20T11:26:10.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=101800392
dasatinibe,Bristol Myers Squibb,SPRYCEL,101800392,100mg,com rev,01/07/2014,2024-12-20T11:26:10.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=101800392
decitabina,Janssen-Cilag,DACOGEN,112363390,50mg/ 10mL,pó liof sol inj,12/11/2012,2024-12-09T14:41:33.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=112363390
deferasirox,Novartis Biociências,EXJADE,100681040,125mg,com sus,22/01/2013,2024-01-12T08:56:22.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100681040
deferasirox,Novartis Biociências,EXJADE,100681040,250mg,com sus,22/01/2013,2024-01-12T08:56:22.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100681040
deferasirox,Novartis Biociências,EXJADE,100681040,500mg,com sus,22/01/2013,2024-01-12T08:56:22.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100681040
deferoxamina (mesilato),Novartis Biociências,DESFERAL,100680053,500mg/ 5mL,pó liof sol inj,12/11/2012,2021-04-07T15:30:20.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100680053
deflazacorte,Blanver,CALCORT,115240019,"6,0mg",com,12/11/2012,2024-01-08T12:13:50.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=115240019
deflazacorte,Blanver,CALCORT,115240019,30mg,com,12/11/2012,2024-01-08T12:13:50.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=115240019
degarelix (acetato),Ferring,FIRMAGON,128760017,"80mg/4,2mL",pó liof sol inj,12/11/2012,2024-08-30T14:32:58.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=128760017
degarelix (acetato),Ferring,FIRMAGON,128760017,"120mg/3,0 mL",pó liof sol inj,12/11/2012,2024-08-30T14:32:58.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=128760017
delafloxacino,Eurofarma,DELABAXI,100431325,300mg/mL,po liof sol inj,28/07/2023,2022-11-30T12:48:41.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100431325
deslanosídeo,União Química,DESLANOL,104971229,"0,2mg/mL",sol inj,12/11/2012,2024-05-17T13:12:55.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=104971229
desloratadina,Organon,DESALEX,100290191,"0,5mg/ml",xpe,12/11/2012,2025-05-27T18:37:56.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100290191
desloratadina,Organon,DESALEX,100290191,5mg,com rev,12/11/2012,2025-05-27T18:37:56.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100290191
desloratadina,Aché,ESALERG GOTAS,105730465,"1,25mg/mL",sol or,27/10/2017,2025-04-03T09:38:27.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105730465
desmopressina (acetato),Bergamo,ACETATO DE DESMOPRESSINA,106460172,"0,1mg/mL",sol spr nas,03/05/2024,2024-05-15T09:51:17.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=106460172
desmopressina (acetato),Ferring,DDAVP,128760015,"0,1mg",com,12/11/2012,2024-08-27T16:09:54.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=128760015
desmopressina (acetato),Ferring,DDAVP,128760015,"0,2mg",com,12/11/2012,2024-08-27T16:09:54.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=128760015
desmopressina (acetato),Ferring,DDAVP,128760015,4mcg/mL,sol inj,12/11/2012,2024-08-27T16:09:54.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=128760015
desogestrel,Organon,CERAZETTE,100290218,75mcg,com rev,12/11/2012,2022-06-15T09:54:01.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100290218
desonida,Aché,ADINOS,105730378,"0,500mg/g",gel crem,12/11/2012,2025-03-11T13:49:38.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105730378
desvenlafaxina (succinato monoidratado),Wyeth,PRISTIQ,121100273,"75,87 mg (50mg)",com rev lib prol,12/11/2012,2024-06-06T16:26:43.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=121100273
desvenlafaxina (succinato monoidratado),Wyeth,PRISTIQ,121100273,"151,77 mg (100mg)",com rev lib prol,12/11/2012,2024-06-06T16:26:43.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=121100273
dexametasona,Aché,DECADRON,105730303,"0,1mg/mL",elx,28/09/2016,2025-04-10T16:38:52.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105730303
dexametasona,Aché,DECADRON,105730303,"0,5mg",com,15/06/2018,2025-04-10T16:38:52.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105730303
dexametasona,Aché,DECADRON,105730303,"0,75mg",com,15/06/2018,2025-04-10T16:38:52.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105730303
dexametasona,Aché,DECADRON,105730303,4mg,com,15/06/2018,2025-04-10T16:38:52.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105730303
dexametasona,Novartis Biociências,MAXIDEX,100681097,1mg/mL,sus oft,12/11/2012,2025-02-17T15:12:35.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100681097
dexametasona,Novartis Biociências,MAXIDEX,100681097,1mg/g,pom oft,12/11/2012,2025-02-17T15:12:35.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100681097
dexametasona (fosfato dissódico),Aché,DECADRON INJETÁVEL,105730302,4mg/mL,sol inj,18/09/2017,2024-04-30T16:21:50.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105730302
dexametasona (fosfato dissódico),Aché,DECADRON INJETÁVEL,105730302,2mg/mL,sol inj,26/07/2018,2024-04-30T16:21:50.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105730302
dexclorfeniramina (maleato),Cosmed,POLARAMINE,178170811,10mg/g,crem derm,05/12/2012,2021-04-26T17:26:58.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=178170811
dexclorfeniramina (maleato),Cosmed,POLARAMINE,178170811,2mg,com rev,05/12/2012,2021-04-26T17:26:58.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=178170811
dexclorfeniramina (maleato),Cosmed,POLARAMINE,178170811,"6,0mg",com rev,05/12/2012,2021-04-26T17:26:58.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=178170811
dexclorfeniramina (maleato),Cosmed,POLARAMINE,178170811,"0,4mg/ml",sol or,01/07/2014,2021-04-26T17:26:58.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=178170811
dexclorfeniramina (maleato),Cosmed,POLARAMINE,178170811,"2,8mg/ml",sol or,02/03/2017,2021-04-26T17:26:58.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=178170811
dexlansoprazol,Takeda,DEXILANT,106390261,30 mg,cap dura lib retard,07/04/2020,2024-12-09T11:39:58.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=106390261
dexlansoprazol,Takeda,DEXILANT,106390261,60 mg,cap dura lib retard,07/04/2020,2024-12-09T11:39:58.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=106390261
dexmedetomidina(cloridrato),Wyeth,PRECEDEX,121100372,100 mcg/ml,sol inj,12/11/2012,2024-07-29T11:09:41.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=121100372
dexmedetomidina(cloridrato),Cristália,DEX BOLSA,102980558,4 mcg/mL,sol inf,03/06/2022,2023-12-15T14:48:10.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=102980558
dextrometorfano (bromidrato),Johnson & Johnson,BENALET TSC,157211206,3 mg/mL,xpe,12/11/2012,,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=157211206
diacereína,TRB Pharma,ARTRODAR,103410052,50 mg,cap dura,05/04/2024,2025-02-25T16:00:13.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=103410052
diazepam,União Química,UNI-DIAZEPAX,104970147,5 mg/mL,sol inj,09/07/2021,2023-08-28T07:40:42.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=104970147
diazepam,Belfar,VALIUM,105710166,5 mg,com,12/11/2012,2025-05-23T09:47:48.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105710166
diazepam,Belfar,VALIUM,105710166,10 mg,com,12/11/2012,2025-05-23T09:47:48.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105710166
