Detentor do registro,cnpj,Produto,Registro,Processo,Data Atualização Bulário,Inclusão na Plataforma,idBulaPacienteProtegido,idBulaProfissionalProtegido
MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,92265552000905,MULTISORO ADULTO,118190225,25351252986202185,22/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzgzMDkyOCIsIm5iZiI6MTc0ODg2MzI5NSwiZXhwIjoxNzQ4ODYzNTk1fQ.IUo2I1oTHW2YH9ytyT21s7dOWsryLM7FqTEYyKXFjIni9nAIgImD0JlQOtFZT_Zzom-XA9UaqcZqoEdPKZRoDw,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzgzMDkyOSIsIm5iZiI6MTc0ODg2MzI5NSwiZXhwIjoxNzQ4ODYzNTk1fQ.5wkLuHjdl9wPLHqlWbl04gFr7ZV8CQoGpuoU7tRTw5ikObaRRVqv_RP8n2BxpzetrmJ-LAj12sv40U7QnsnpzA
LABORATÓRIOS SERVIER DO BRASIL LTDA,42374207000176,ACERTALIX,112780077,25351666271201475,21/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzgxNDg4MSIsIm5iZiI6MTc0ODg2MzI3MCwiZXhwIjoxNzQ4ODYzNTcwfQ._Wz1AOjohHQD4Mo3vUeUg3qOkQHOiZAeyjlkcoUMW-ESYmi4kkF9oo0157PgBw62bW4KcP4btE6AdyzNngGlhA,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzgxNDg4MiIsIm5iZiI6MTc0ODg2MzI3MCwiZXhwIjoxNzQ4ODYzNTcwfQ.O6bG6xLDxkNkLWn-9FCtV62QRcRZ08nFA_UHP9dFFYV0e4VM3M8YL285iDvhOt_wApAB04APCUr63LixiZd0vg
EMS S/A,57507378000365,CETOCONAZOL,102350459,253510134350048,21/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzgxMjYyMiIsIm5iZiI6MTc0ODg2MzI3MywiZXhwIjoxNzQ4ODYzNTczfQ.l_RwDAJt42A44KNCX8-Wsk0irVnl85pWEG5xW8t7JwFD6QVFh0-GXbEzR9x4MIjzSP957Rz7KPdJuyJ3lZCSrw,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzgxMjYyMyIsIm5iZiI6MTc0ODg2MzI3MywiZXhwIjoxNzQ4ODYzNTczfQ.65wPaWAS82E1EbZswG873ctkujeKBu425TzufHVZ5LB5xs8Re_kWyL1tVrnP_QHPpzgkAkEXOL6AWAu_1bWqVQ
CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,17562075000169,CLOMAZOL,115600038,250000043399974,21/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzgwNjUzNSIsIm5iZiI6MTc0ODg2MzI3MywiZXhwIjoxNzQ4ODYzNTczfQ.zVLGOTrCFeahAqx-UPB9M33ilgkuw1kjKMCUsCTwYPMhOew_ZnA51smR8Ct1IIpM0aQsNc35L39MAyuVEZKgYQ,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzgwNjUzNiIsIm5iZiI6MTc0ODg2MzI3MywiZXhwIjoxNzQ4ODYzNTczfQ.0KZi_sf1EMWcKY9VA-nkO7RdLVlMlTlbA5iN75XpwwMnkEGgZYiPZMKM8ygdDjK8SILq_DRmxIEVNuYVbU1f9w
GERMED FARMACEUTICA LTDA,45992062000165,cloridrato de fluoxetina,105830380,25351134473200492,21/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzgxNTg3NCIsIm5iZiI6MTc0ODg2MzI3NywiZXhwIjoxNzQ4ODYzNTc3fQ.a8D89taBPT2nbPG2SH-GN0tiwsp08dGrqw0Kec6BVAAwQkfZe0iT9GfTOZPMRkZW0T_IYL7wwdNTtAeT6qjlSw,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzgxNTg3NSIsIm5iZiI6MTc0ODg2MzI3NywiZXhwIjoxNzQ4ODYzNTc3fQ.GrnH-eiJgIWZTfiJHwPsFKGIHaLd4aYzmpPJBgxme7lSDdIQDy5nvMxlozN6yd2xM5TDojqCekKnS_9t_3oYWA
LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,05044984000126,cloridrato de fluoxetina,167730476,25351397987201518,21/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzgxMTAwOSIsIm5iZiI6MTc0ODg2MzI3NywiZXhwIjoxNzQ4ODYzNTc3fQ.rV2bLqMM8EBNyMhneCK4m47mvH8l7bEiCSlIe3VJfNRMgFDLeCng7NbQCzBfgJQP09n-v5fpdGjnshnQEyiE5g,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzgxMTAxMCIsIm5iZiI6MTc0ODg2MzI3NywiZXhwIjoxNzQ4ODYzNTc3fQ.yRpdGS9H8hvIaF5iUFUWiQ55kU9DbIIKNJmr02y8mjP6PHgh0lztLFRPAQW5Vo2ahFKpkDl88tkizk059jBQfg
EMS SIGMA PHARMA LTDA,00923140000131,KOLI D3,135690737,25351510768201611,21/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzgxMjI1NyIsIm5iZiI6MTc0ODg2MzI4NCwiZXhwIjoxNzQ4ODYzNTg0fQ.FkTCnNcigMzK5u_vmR2N_TfrkaDMIlYYPnrpnQk7xyCpQD7VAqJ1ej8MieuvUv4ZOPqmbVF6LTov0fLHErHMqA,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzgxMjI1OCIsIm5iZiI6MTc0ODg2MzI4NCwiZXhwIjoxNzQ4ODYzNTg0fQ.72dVrVpHzJdZLehIkUDhipDqwnsC0Ng49as8LyNHSEQEhaQpL6CDXi3rignByH-iCGoIICwMgL1pzSxNl4nCAA
SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,61286647000116,ZIEXTENZO,100470651,25351110434202109,21/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzgwOTM5NiIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ._Oe7Hqnehw_XJ_zYqXFTChKYi0ItxmN81WHdpbcbp5C13M1ZkrXJh8cValqkbK-wQKq1hlGZN8t4gaj1wZ5ptQ,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzgwOTM5NyIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.dWUflDmxYGK4R1N7kmYo6HoKUQr0_021b2VkzdbIcvQa_exiV0v5tUX5ha7bggTQB-vI9Uf53JpWl_KQkIh4xA
ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,60659463002992,acebrofilina,105730609,25351849309201889,20/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5MjY0OSIsIm5iZiI6MTc0ODg2MzI3MCwiZXhwIjoxNzQ4ODYzNTcwfQ.AlWmhR8D96CGgbSH2o_cURyW1TsG_g-ijdSo0752qgdJxxhLn6iylOdHgW3dyywRfUPaDISoTHOjqqf2xipDnQ,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5MjY1MCIsIm5iZiI6MTc0ODg2MzI3MCwiZXhwIjoxNzQ4ODYzNTcwfQ.X35M3GgqPrRLA56hYtxU0uyDJTZ9LjUdKI7FjF2s5cs_1yIJMnQjuFNau4ZQvuqVnOf-C143uDRZiI3XFOPB4g
FRESENIUS KABI BRASIL LTDA,49324221000104,adenosina,100410233,25351416541202211,20/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5Njg1MyIsIm5iZiI6MTc0ODg2MzI3MCwiZXhwIjoxNzQ4ODYzNTcwfQ.E7b8XAhxnj8yXi2dhB8Db_-zLnI-_YpCpbM-cp5BGpSMS66cZAikkLgvpTGDWkemSM_O_p--UYV_41LzAnh_Aw,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5Njg1NCIsIm5iZiI6MTc0ODg2MzI3MCwiZXhwIjoxNzQ4ODYzNTcwfQ.h6aULYkZJ_3B0r9_UFXMQuwNmr0yiyea9z1gnFbptjSuKfcXBF5XiBldRlYLhBtzt7zRlhwjeoISYQ4lVvBaKA
GERMED FARMACEUTICA LTDA,45992062000165,BROMIDRATO DE CITALOPRAM,105830563,25351147980200739,20/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5MzA3OCIsIm5iZiI6MTc0ODg2MzI3MywiZXhwIjoxNzQ4ODYzNTczfQ.npYQFqEvcgHx-PGo7Bj6HBEt229PoRciVUpoQ196FxrzetBWFS9Y6u77G9sjnVozo7x_aAZ8EbjB_ONLMwdlSA,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5MzA3OSIsIm5iZiI6MTc0ODg2MzI3MywiZXhwIjoxNzQ4ODYzNTczfQ.2S1aXS4Q6PXxWu7Md5SCL24m42rkzTZwAHkltDXIX5xxFa-PUayKiJ2QVV5i8eevbjulTwlcacFqBPdckHr3BA
INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA,33258401000103,carbonato de lítio,100630260,25351406155202211,20/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5NjI3OSIsIm5iZiI6MTc0ODg2MzI3MywiZXhwIjoxNzQ4ODYzNTczfQ.TrRG8zRdtCNCr3i8du_rC0UdjAWIoxvt3vhMpnRVmGGjp2mJ4-tBKx2_juwiiln_emQAoozZ77NDuDuxQoGyfQ,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5NjI4MCIsIm5iZiI6MTc0ODg2MzI3MywiZXhwIjoxNzQ4ODYzNTczfQ.GwDCl48aeetR5AE__I_s78IzqYCQW5-i3rIIYMBuz8BmBiBKQZxcLAwAe8QXSMF5KbL910r6OlwxnVTWLdMFXg
RANBAXY FARMACÊUTICA LTDA,73663650000190,CLONAZEPAM,123520193,25351260964200579,20/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5MjcxNiIsIm5iZiI6MTc0ODg2MzI3MywiZXhwIjoxNzQ4ODYzNTczfQ.0A5dDeCBZMkKxY61Yjryz3258_5K0r5K4FfZTn_nbKL-RUUVtp5PJIopteBFpiDa7yf39nEEmp83DgrEMF65Ow,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5MjcxNyIsIm5iZiI6MTc0ODg2MzI3MywiZXhwIjoxNzQ4ODYzNTczfQ.uKWq7KHAYj6LYbi8jXi_a6A2p94ap7EA78xgjsvKwG6C8ECbdjmgfrWWRg1gpOuZjVzJpried_Ezh33BhOLpGg
EMS S/A,57507378000365,DESAIRON,102351222,25351666306201492,20/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzgwMDYzMiIsIm5iZiI6MTc0ODg2MzI3NywiZXhwIjoxNzQ4ODYzNTc3fQ.iatX7hc3nfWLHmwh_SLlpdnEVUdxX1xwc2RZFo_hMvOWPXmMxaUxTKW97MUgZe_SFB8BZvlQrk8MXlpXmIzARw,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzgwMDYzMyIsIm5iZiI6MTc0ODg2MzI3NywiZXhwIjoxNzQ4ODYzNTc3fQ.PmNANCnAuOiKwgXAXqm_57Ef9FqwGbZAPDJ9G5rlRPbZBzPHXNzLyViBpAX2JFGQ_v0y16Abq1YCTutaNXJnig
SANOFI MEDLEY FARMACÊUTICA LTDA.,10588595001092,Dupixent,183260335,25351189487201920,20/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5NzQ1NSIsIm5iZiI6MTc0ODg2MzI4MSwiZXhwIjoxNzQ4ODYzNTgxfQ.fZkvuRKrvuaQDiUgFYLvRgAAfqxkA3hf2PsCV6T6cgW963cr13MUL2Bkp59CtCZCLJLMCec60Yxu_IojuF3qJQ,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5NzQ1NiIsIm5iZiI6MTc0ODg2MzI4MSwiZXhwIjoxNzQ4ODYzNTgxfQ.k8ZAMeOBBBSGss3ftBydAQrKuzmjeEVTLauJ524qI8Urnp5kxLA6ERDSgRVH-0jWKNznWu_SWSPjifgHFVbHuQ
EMS S/A,57507378000365,ezetimiba,102351132,25351308043201303,20/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5NzE2NiIsIm5iZiI6MTc0ODg2MzI4MSwiZXhwIjoxNzQ4ODYzNTgxfQ.H6B61nr0k0bfBSJxZAqT61tUbShKnuk31ETkSq_CUvlu27NAQCRfaRPlpGRCmarbjsdSG7c5_OCl7AdCwdjX1Q,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5NzE2NyIsIm5iZiI6MTc0ODg2MzI4MSwiZXhwIjoxNzQ4ODYzNTgxfQ.Iw8LH86XmLS_WycXTRtmVPtlnBMXZc3N8NCxXWCKk1yucMQBZpZOBovrewvVVE43vKdqg0n3gm-dvE4nt7wSsg
EMS S/A,57507378000365,HIDROQUINONA+ TRETINOINA + FLUOCINOLONA ACETONIDA,102350930,25351554405200870,20/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc4ODc3MiIsIm5iZiI6MTc0ODg2MzI4NCwiZXhwIjoxNzQ4ODYzNTg0fQ.BE6uvlQ6Ani2lzSw5Em1RPvLiZWgCOfxLF3iLVJhjtdRuazM_6gdxhrWlMtfMYkrQKCEBIy5yHU7zQMpJcQFqQ,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc4ODc3MyIsIm5iZiI6MTc0ODg2MzI4NCwiZXhwIjoxNzQ4ODYzNTg0fQ.FgHIQESDN5G51kwpFpOGc7indWLUqwd6WkJZz-MdG60Grq71o3JrrmLQQZ3ds8vsnWX57vmZ_AvFGFmdwOWWoQ
EMS SIGMA PHARMA LTDA,00923140000131,ITRASPOR,135690703,25351186273201578,20/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5ODc2MSIsIm5iZiI6MTc0ODg2MzI4NCwiZXhwIjoxNzQ4ODYzNTg0fQ.3qUiX6cqFFEAy0x9woCGPng4njoIf-vqYSSC25yYdGw7SvonFlOPKioQPkgb4TdzQ8ftTBfiQdj02KIGSAyUDA,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5ODc2MiIsIm5iZiI6MTc0ODg2MzI4NCwiZXhwIjoxNzQ4ODYzNTg0fQ._g42vk5JeW1t19Q9ySQLDKpdftHef_Uzhlny-zlr5AjqsgRKbCf3q_CkrV5oue3sXpT1g-3oYURVFMhA09fk3w
APSEN FARMACEUTICA S/A,62462015000129,MIOSAN,101180129,250000092779653,20/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc4NjE4OCIsIm5iZiI6MTc0ODg2MzI4NywiZXhwIjoxNzQ4ODYzNTg3fQ.Yc7ibNwwCNuofabZLscqABAbpBLcFftI5BRHBBgF8y_b-SPgR9F2stkL0ZbmPEOhn7dAr22OD3kOjqXlne8A0A,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc4NjE4OSIsIm5iZiI6MTc0ODg2MzI4NywiZXhwIjoxNzQ4ODYzNTg3fQ.Fhs1D_lGEU0r5ISepb2EKkDDZMCne8-3ybdw1_lKtIr6Wz1VGjiZFUWQRr56zcerIM0ZASqrSmt8gCMuU20rCg
GERMED FARMACEUTICA LTDA,45992062000165,VALSARTANA,105830842,25351523482201515,20/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5MDAyNSIsIm5iZiI6MTc0ODg2MzI4NywiZXhwIjoxNzQ4ODYzNTg3fQ.d-hPooEFUd-ZDJe22cvNzPiQOdaToS-jnmfzTfsfKJ_swPikDr_EZqGYGzhSvkc5jpDiKeo0SUxyPfTMHZRqxw,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5MDAyNiIsIm5iZiI6MTc0ODg2MzI4NywiZXhwIjoxNzQ4ODYzNTg3fQ.LCTKWl3WHKZB4CbrHAUOUWHB7DOadNP_-RfuXJtU70BbSQbPWqGqU99ewgevgarrG8U9Hk1JBoOrRfGHMHurEw
MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,92265552000905,Propionato de clobetasol,118190413,25351065467202260,20/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5MjY5NCIsIm5iZiI6MTc0ODg2MzI5MCwiZXhwIjoxNzQ4ODYzNTkwfQ.67k24AAxCOJ9aUcjpz7PWeWQH4CrmScJciCIK43khkVF1_xMt7GAHp5lXtT2uFJNU5E2ROeSdd6bnFbhQLCvfA,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5MjY5NSIsIm5iZiI6MTc0ODg2MzI5MCwiZXhwIjoxNzQ4ODYzNTkwfQ.dzUcSWgtARZ0yGSFWb6w0WcNqJJz41WX9cljFpaWkEf5OCpXZ9xvSpy49Q6xy7u1LbWvNrzhVxUK4lWL-mb_lA
LIBBS FARMACÊUTICA LTDA,61230314000175,SUMAX,100330029,250000122159241,20/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5NjQ5MCIsIm5iZiI6MTc0ODg2MzI5MCwiZXhwIjoxNzQ4ODYzNTkwfQ.OKV5Wzoc1v1mzpzGQ0yS1qwnDu9YJxaUZKn_0Sbwa_CuYE83WgNpn9O95xMtFiPUlMvXArB6uw4u-w2aHan30Q,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5NjQ5MSIsIm5iZiI6MTc0ODg2MzI5MCwiZXhwIjoxNzQ4ODYzNTkwfQ.V4jwFmdZUEO_2FXS2umllZh1MMVMtqwfhsubxLnZ0x2wDpudJuoNVGh6cNgwC4zwaw6H9DIfrZjx4-lZlogQXg
APSEN FARMACEUTICA S/A,62462015000129,RAHIME,101180636,25351683009202045,20/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5MDU2NSIsIm5iZiI6MTc0ODg2MzI5MCwiZXhwIjoxNzQ4ODYzNTkwfQ.54BSONrhyGZOtPo1fLR1TXzIKbLbQW09k7lGEyM-iKwLs_Ugxc44dKCppjvgNyRiGo032aqWYV8K6FDypbyIFQ,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5MDU2NiIsIm5iZiI6MTc0ODg2MzI5MCwiZXhwIjoxNzQ4ODYzNTkwfQ._ahVJ-ydpJFYUMOlH-q6Wbdla34KgDhXcvXxLe8SiZqdhgUY98ZyvC8KulQnSRMTOH3lBEwVHXRrb6ID9CjD5w
APSEN FARMACEUTICA S/A,62462015000129,ramelteona,101180634,25351664035202074,20/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc4NjI3NiIsIm5iZiI6MTc0ODg2MzI5MCwiZXhwIjoxNzQ4ODYzNTkwfQ.vkYht1bJD_p5LxW_F4Nm_4_TBrnjoK_bqDpaPHEd9efBVRazunMSyrCNayHBYEFZOByoXSt2_ejYQpxUk_Lnkg,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc4NjI3NyIsIm5iZiI6MTc0ODg2MzI5MCwiZXhwIjoxNzQ4ODYzNTkwfQ.vyqV2Z9sp67PhjsnHSIggptvnqI01ZADTHFMI4aXJO2BekgFfS7dLL7kqiObsv1srnUiy_OX6OGek2LF4_Psxw
APSEN FARMACEUTICA S/A,62462015000129,RETEMIC,101180108,250000129519579,20/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5MDc3NyIsIm5iZiI6MTc0ODg2MzI5MCwiZXhwIjoxNzQ4ODYzNTkwfQ.A7mquwnDax6chglVPTvB--hbuD2Z7dzaXTy840-oPWX7k3y5FeLo0LwdVjZkdxexqGl0IB_KAC4kHHHmrU1KYg,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5MDc3OCIsIm5iZiI6MTc0ODg2MzI5MCwiZXhwIjoxNzQ4ODYzNTkwfQ.N-WN5tFsdo_A6U8ZikKYQwbBuaj9lNMYNRyDvHJ_aFXQzzNwvYcofZRLb7PFzM11G_UyM6Tk2jm65D3DlAbZdQ
PFIZER BRASIL LTDA,61072393000133,ZYVOX,121100430,25351099761201776,20/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5NDYzNSIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.7NYHwEhIpYiBfEZSndMywProAzEC87PQuh1OzSfzzzyv7vl686XJV-Xybd7Bo9WeNYDMRGekLXz8E9lAKdAzCQ,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5NDYzNiIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.faGbIL6ScluJTutUyUE4TH_6OreUCaTPj-c56ZJYOIhw8v_L7mP9eXkd4ZoNLoMpouttwKvMu4XFGKwoRkxGqw
Althaia S.A Indústria Farmacêutica,48344725000719,trometamol cetorolaco,135170080,25351292508202299,20/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5NDQwNCIsIm5iZiI6MTc0ODg2MzI5NSwiZXhwIjoxNzQ4ODYzNTk1fQ.JwFHcR-_k-9tYwwFY0FzvOk9qc3-D9IqGIdw5R6rUjxeiyU6jbv6lOjxdxRdzDEniE3_q11aIsZsuj1ejJ0f_A,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5NDQwNSIsIm5iZiI6MTc0ODg2MzI5NSwiZXhwIjoxNzQ4ODYzNTk1fQ.ToZuMngNHk5Dpe1f1oRqqiz0nVMpFf7PwgDjaiLXtaAt41joOvKKTGmnWLh6t59kT9OZGZtK6_mXkB9T8UdG7A
BIOLAB SANUS FARMACÊUTICA LTDA,49475833000106,SINUSTRAT VASOCONSTRICTOR,109740247,25351403861201798,20/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5NTk1MCIsIm5iZiI6MTc0ODg2MzI5NSwiZXhwIjoxNzQ4ODYzNTk1fQ.kvOgxXYKSdkbVqaqju3vzDWbm1kmCH9V1I6TvXk-A_qt6yTSXRYk2ugK9nUhMia0mxmbVeiQI-3zx5kEGKoj1A,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc5NTk1MSIsIm5iZiI6MTc0ODg2MzI5NSwiZXhwIjoxNzQ4ODYzNTk1fQ.7Y_-KXmnt1ybcF9gcEkG1ss1onylRP_VRV9q3v_iJmvHtpZofFRTo4tOIisrOvuBBagpVDJbSR5wyU8qs8mu9g
BEAUFOUR IPSEN FARMACÊUTICA LTDA,07718721000180,SOMATULINE AUTOGEL,169770002,25351128844200821,20/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzgwMjYxOSIsIm5iZiI6MTc0ODg2MzI5NSwiZXhwIjoxNzQ4ODYzNTk1fQ.SV2N8Sg_bqMdvDS1mfFs2slY29aOel5cEEgV7_Lu6ru3CJw2vFVpMckDsXR6xp6690mzCxNswgzfZUe9teLEDA,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzgwMjYyMCIsIm5iZiI6MTc0ODg2MzI5NSwiZXhwIjoxNzQ4ODYzNTk1fQ.rOWI5xfTFzdv_3Kf91FKv-iykIyeou9MEYmpQ46MmDxiM9z2rnxnGNwGjpIG8KVOlbqwGwXhtdGOxPacWi-K1g
INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA,33258401000103,carbamazepina,100630280,25351456699202223,17/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc2MjE1NyIsIm5iZiI6MTc0ODg2MzI3MywiZXhwIjoxNzQ4ODYzNTczfQ.C712aXRnYIQzTAO1fhoyT9FKv-IbC3gTm8jSfT5WpQSi2QmUh0Dn2RgpnhuHGFvhXNJA5UKeuTGJaR3cXvc8Eg,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc2MjE1OCIsIm5iZiI6MTc0ODg2MzI3MywiZXhwIjoxNzQ4ODYzNTczfQ.Rb9vH28udqHFhZwOOMIBKI7LdCF1qlE4fqD0XGSiIajVH9mZ0R7NP_CdZr-VKrNkujSB1lJxjt3DzkrPXwUI4Q
SUPERA FARMA LABORATÓRIOS S.A,43312503000105,CARLIT,103720250,25351581090201481,17/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc2NzE5NSIsIm5iZiI6MTc0ODg2MzI3MywiZXhwIjoxNzQ4ODYzNTczfQ.K72U7inYWh9zLbjOKQ4JgyfQdLFI8QEjHAJ15QJKjEEaQbHwX_TygJqVAAFQuyfO7J49VP0Q3M75fCrBE34f7w,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc2NzE5NiIsIm5iZiI6MTc0ODg2MzI3MywiZXhwIjoxNzQ4ODYzNTczfQ.PM2PeZHPXywg0xdFAMPUNY4AS25M6ZJEg4b19eJfjsjFXVfenxnVjYpIvY2wA7ZGxktOCTKVNXZujJCXiqvyuQ
MERCK S/A,33069212000184,CLINFAR,100890254,253510056030095,17/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc2ODE1NCIsIm5iZiI6MTc0ODg2MzI3MywiZXhwIjoxNzQ4ODYzNTczfQ.6NKApfpuF-S9t4fmUa6BVBJ0MQ5zhSE-8j7ycrnz_edNzhZBAi1Paju5_6oZLPkGarGnf2meCrKgKxcbNz-oPQ,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc2ODE1NSIsIm5iZiI6MTc0ODg2MzI3MywiZXhwIjoxNzQ4ODYzNTczfQ.LI0MGlwN4k_xbkcxUQ1GjqV9d2SjCthO6vLrqBRbuXMmDXwADAgxH1ALzC9ckAIcvV1bDXeWCgvWIiUhYwOHug
BIOLAB SANUS FARMACÊUTICA LTDA,49475833000106,cloridrato de ciprofloxacino,109740284,25351375831201900,17/01/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc2MDUxOCIsIm5iZiI6MTc0ODg2MzI3MywiZXhwIjoxNzQ4ODYzNTczfQ.Shy_ta54oq7JwLDwEx5zfJpl0DsuhR_vqAIxEQdLqUT0zZMDk149JS6gD01g1pbCOw8mw6gT3-mNSKif4d2PYg,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIyNzc2MDUxOSIsIm5iZiI6MTc0ODg2MzI3MywiZXhwIjoxNzQ4ODYzNTczfQ.n5y-SHPQSz4cJ7qMmSxFiNO6AfFXBIR-9zl9NtCM7UGeTqubYG-g_EHdbGlAwNkvA6dc6fbKcl3ekTQz9wUoBQ
